drug	"Author, Year"	Study Title	Index Disease	"Patients, Total No."	"Patients, No. on TNF-a Inhibitor"	Unknown	Comparator Arm	"Age, mean, y"	"Duration of exposure, wk"	"Max length of follow-up, weeks"	"TNF Patient-years, total"	"Non-TNF Patient-years, total"	"Calculated TNF Patient-years, total"	"Calculated Non-TNF Patient-years, total"	Total # TNF Cancers	Total # of TNF Cancers Excluding NMSC	Cancer Info	Total # Placebo Cancers	Total # Placebo Cancers Excluding NMSC	Cancer Info	Quality of Adverse Event Reporting	Adequacy of Blinding	Conflict of Interest	Funding Source	Random sequence generation: will randomization produce comparable groups?	Allocation concealment: determine whether intervention allocations could'vebeen foreseen during or before enrollment.	Blinding of participants and personnel	Attrition bias: incomplete outcome data	Reporting bias: selective outcome reporting	Other bias
ADALIMUMAB	"Bissonnette, 2017"	TNF-ë± Antagonist and Vascular Inflammation in Patients with Psoriasis Vulgaris: A Randomized Placebo-Controlled Study	PS	107	107	53	Placebo. (crossover to Adalimumab at week 16)	48.9	52	52	NA	NA	107	16	1	1	1 bladder	0	0	None	Partially adequate	Yes	Yes	Industry	Low risk (high-quality randomization)	Low risk	Low risk	Unclear risk	Low risk	Unclear risk
ADALIMUMAB	"Cai, 2016"	"Efficacy and safety of adalimumab in Chinese patients with moderate-to-severe plaque psoriasis: results from a phase 3, randomized, placebo-controlled, double-blind study"	PS	425	333	87	Placebo	43.1	24	34	244	NA	153.6923077	40.15	2	2	"1 uterine, 1 gastric"	0	0	None	Partially adequate	Yes	No	Industry	Unclear risk	Low risk	Low risk	Unclear risk	Low risk	Unclear risk
ADALIMUMAB	"Colombel, 2014"	"Four-year maintenance treatment with adalimumab in patients with moderately to severely active ulcerative colitis: Data from ULTRA 1, 2, and 3"	UC	1093	1010	54	Placebo	39.8	52	111.12	2338	152.9	1010	54	25	25	"22 unspecified, 3 lymphoma"	2	2	2 unspecified	Partially adequate	Not Applicable	Unknown	Unknown	Low risk (high-quality randomization)	Low risk	Low risk	Low risk	Unclear risk	Unclear risk
ADALIMUMAB	"Furst, 2003"	"Adalimumab, a Fully Human Anti‰ÛÒTumor Necrosis Factor-ë± Monoclonal Antibody, and Concomitant Standard Antirheumatic Therapy for the Treatment of Rheumatoid Arthritis: Results of STAR (Safety Trial of Adalimumab in Rheumatoid Arthritis)"	RA	636	318	318	Placebo	55.4	24	24	NA	NA	146.7692308	146.77	1	1	1 Non-Hodgkin Lymphoma	0	0	None	Adequate	Yes	Yes	Industry (Abbott)	Low risk (high-quality randomization)	Unclear risk	Low risk	Unclear risk	Unclear risk	Low risk
ADALIMUMAB	"Genovese, 2007"	Safety and efficacy of adalimumab in treatment of patients with psoriatic arthritis who had failed disease modifying antirheumatic drug therapy	PSA	100	100	49	Placebo	50.4	24	24	69.32	11.3	46.15384615	11.3	0	0	none	3	2	"1 Non-Hodgkin Lymphoma, 1 prostate cancer, 1 NMSC"	Partially adequate	Unknown	Unknown	Unknown	Low risk (high-quality randomization)	Unclear risk	Low risk	Unclear risk	Low risk	Unclear risk
ADALIMUMAB	"Jaffe, 2016"	Adalimumab in Patients with Active Noninfectious Uveitis	Noninfectious uveitis	217	110	107	Placebo	42.7	24	24	62.4	44.25	50.76923077	49.38	2	2	"1 carcinoid tumor of GI tract, 1 Glioblastoma multiforme"	0	0	None	Partially adequate	Unknown	Unknown	Industry	Low risk (high-quality randomization)	Low risk	Low risk	Unclear risk	Unclear risk	Unclear risk
ADALIMUMAB	"Kamm, 2011"	Adalimumab sustains steroid-free remission after 3 years of therapy for Crohn's disease	CD	778	519	107	Placebo	37	164	164	938.1	NA	1636.846154	337	6	6	6 unspecified	0	0	None	Partially adequate	Yes	Yes	Industry	Low risk (high-quality randomization)	Low risk	Low risk	Unclear risk	Unclear risk	Low risk
ADALIMUMAB	"Kimball, 2016"	Two phase 3 trials of adalimumab for hidradenitis suppurativa	HS	633	361	252	Placebo	36.2	36	36	NA	NA	232.153	81.22	1	0	1 NMSC	1	1	1 breast	Adequate	Yes	Unknown	Unknown	Low risk (high-quality randomization)	Unclear risk	Low risk	Unclear risk	Unclear risk	Unclear risk
ADALIMUMAB	"Leonardi, 2011"	"Adalimumab for treatment of moderate to severe chronic plaque psoriasis of the hands and feet: Efficacy and safety results from REACH, a randomized, placebo-controlled, double-blind trial"	PS	72	72	23	Placebo	40	28	28	NA	NA	38.76923077	12.38	0	0	None	1	1	1 breast	Inadequate	Yes	Unknown	Industry	Low risk (high-quality randomization)	Unclear risk	High risk	Unclear risk	Low risk	Unclear risk
ADALIMUMAB	"Menter, 2010"	Efficacy and safety of adalimumab across subgroups of patients with moderate to severe psoriasis	PS	1212	783	398	Placebo	NA	52	52	NA	NA	783	398	6	2	"4 NMSC, 2 unspecified"	2	1	"1 NMSC, 1 unspecified"	Partially adequate	Not Applicable	Unknown	Industry	Low risk (high-quality randomization)	Unclear risk	Low risk	Unclear risk	Low risk	Unclear risk
